Route,admin,edit,org_auditor,rules_admin,superadmin,systemadmin,view,Protected
GET NgAccessGroupsRestController.getUsers,YES,,,,,,,YES
GET NgAccessGroupsRestController.getApplications,YES,,,,,,,YES
GET NgAccessGroupsRestController.getApplications,YES,,,,,,,YES
GET NgAccessGroupsRestController.checkName,YES,,,,,,,YES
GET NgAccessGroupsRestController.checkNameUpdate,YES,,,,,,,YES
GET NgAccessGroupsRestController.createAccessGroup,YES,,,,,,,YES
GET NgAccessGroupsRestController.updateAccessGroup,YES,,,,,,,YES
GET NgAccessGroupsRestController.deleteAccessGroup,YES,,,,,,,YES
GET NgAgentRestController.downloadEngine,,YES,,,,,,YES
GET NgAgentRestController.downloadAgent,,YES,,,,,,YES
GET NgAgentRestController.downloadAgentConfig,,YES,,,,,,YES
GET NgAgentRestController.downloadAgentConfig,,YES,,,,,,YES
GET NgAgentRestController.getAgentVersions,,,,,,,,
GET NgAgentRestController.getAgentHome,,,,,,,,
GET ApplicationActivityWS.update,,,,,,,,
GET ApplicationCreateWS.createApp,,,,,,,,
GET ApplicationUpdateWS.update,,,,,,,,
GET EngineWS.downloadEngine,,,,,,,,
GET PreflightWS.checkPreflight,,,,,,,,
GET ServerUpdateWS.updateServer,,,,,,,,
GET StartupWS.registerEngineStartup,,,,,,,,
GET TraceWS.create,,,,,,,,
GET AgentServersRestController.reportServerActivityData,,,,,,,,
GET AgentServersRestController.onServerStartup,,,,,,,,
GET AgentSessionRestController.createSessionID,,,,,,,,
GET NgApplicationActivityReceiverRestController.putApplicationActivity,,,,,,,,
GET NgApplicationCreateRestController.createApplication,,,,,,,,
GET NgPossibleSecurityControlRestController.savePossibleSecurityControl,,,,,,,,
GET NgPreflightRestController.checkPreflight,,,,,,,,
GET NgServerActivityReceiverRestController.putServerActivity,,,,,,,,
GET NgTraceReceiverRestController.create,,,,,,,,
GET NgUpdateReceiverRestController.putApplicationUpdate,,,,,,,,
GET NgAlertsRestController.getAlerts,,YES,,,,,,YES
GET NgAlertsRestController.getAlert,,YES,,,,,,YES
GET NgAlertsRestController.deleteAlert,,YES,,,,,,YES
GET NgAlertsRestController.updateAlertStatus,,YES,,,,,,YES
GET NgAlertsRestController.addAlert,,YES,,,,,,YES
GET NgAlertsRestController.editAlert,,YES,,,,,,YES
GET NgApplicationActivityRestController.getNewestApplications,,,,,,,,
GET NgApplicationActivityRestController.getRecentApplications,,,,,,,,
GET NgApplicationActivityRestController.inactiveApplications,,,,,,,,
GET NgApplicationAssessRuleEnvConfigRestController.getAssessRulesConfigurations,,,,,,,YES,YES
GET NgApplicationAssessRuleEnvConfigRestController.bulkUpdateAssessRuleConfigurations,,,,YES,,,,YES
GET NgApplicationAssessRuleEnvConfigRestController.updateAssessRuleConfiguration,,,,YES,,,,YES
GET NgApplicationAttackHistoryRestController.getHistoryAttacks,,,,,,,,
GET NgApplicationAttackRestController.getApplicationAttacks,,,,,,,,
GET NgApplicationBulkUpdateRestController.archive,,YES,,,,,,YES
GET NgApplicationBulkUpdateRestController.restore,,,,,,,,
GET NgApplicationBulkUpdateRestController.delete,,,,,,,,
GET NgApplicationBulkUpdateRestController.merge,,YES,,,,,,YES
GET NgApplicationBulkUpdateRestController.tag,,,,,,,,
GET NgApplicationComponentsRestController.getArchitectureComponents,,,,,,,,
GET NgApplicationCoverageRestController.getCoverage,,,,,,,,
GET NgApplicationCoverageRestController.getLastWeekCoverageStats,,,,,,,,
GET NgApplicationExclusionRestController.getExclusions,,,,,,,,
GET NgApplicationExclusionRestController.getExclusion,,,,YES,,,,YES
GET NgApplicationExclusionRestController.createExclusion,,,,YES,,,,YES
GET NgApplicationExclusionRestController.createExclusionTypeURL,,,,YES,,,,YES
GET NgApplicationExclusionRestController.createExclusionTypeCode,,,,YES,,,,YES
GET NgApplicationExclusionRestController.createExclusionTypeInput,,,,YES,,,,YES
GET NgApplicationExclusionRestController.editExclusion,,,,YES,,,,YES
GET NgApplicationExclusionRestController.deleteExclusion,,,,YES,,,,YES
GET NgApplicationExclusionRestController.updateAssessmentStatus,,,,YES,,,,YES
GET NgApplicationExclusionRestController.countEventsByExclusion,,,,YES,,,,YES
GET NgApplicationExclusionRestController.suppressEventsByExclusion,,,,YES,,,,YES
GET NgApplicationGroupsRestController.groups,YES,,,,,,,YES
GET NgApplicationGroupsRestController.addApplicationsToGroup,YES,,,,,,,YES
GET NgApplicationHistoryRestController.getAppSnapshotScores,,,,,,,,
GET NgApplicationHistoryRestController.getAppSnapshotScoresByInterval,,,,,,,,
GET NgApplicationHistoryRestController.getAppSnapshotScoresByIntervalIncludeDefense,,,,,,,,
GET NgApplicationLibraryRestController.getAppLibrariesWithFilters,,,,,,,,
GET NgApplicationLibraryRestController.getAppLibraries,,,,,,,,
GET NgApplicationLibraryRestController.getLibrariesStats,,,,,,,,
GET NgApplicationLibraryRestController.getLibrariesScoreBreakdown,,,,,,,,
GET NgApplicationLibraryRestController.getLibrariesOutOfDateBreakdown,,,,,,,,
GET NgApplicationLibraryRestController.getSbomForApp,,,,,,,,
GET NgApplicationLibraryRestController.getFiltersTypes,,,,,,,,
GET NgApplicationScoresRestController.getApplicationScore,,,,,,,,
GET NgApplicationScoresRestController.getApplicationScoreIncludeDefense,,,,,,,,
GET NgApplicationScoresRestController.getApplicationPlatformScore,,,,,,,,
GET NgApplicationScoresRestController.getApplicationPlatformScoreIncludeDefense,,,,,,,,
GET NgApplicationScoresRestController.getApplicationSecurityScore,,,,,,,,
GET NgApplicationScoresRestController.applicationSecurityScoreDataIncludeDefense,,,,,,,,
GET NgApplicationScoresRestController.applicationVulnerabilityBreakdown,,,,,,,,
GET NgApplicationScoresRestController.applicationVulnerabilityBreakdownEnvSeverity,,,,,,,,
GET NgApplicationScoresRestController.applicationVulnerabilityBreakdownEnvStatus,,,,,,,,
GET NgApplicationScoresRestController.applicationVulnerabilityBreakdownRuleType,,,,,,,,
GET NgApplicationScoresRestController.applicationAttacksBreakdownStatus,,,,,,,,
GET NgApplicationScoresRestController.applicationAttacksBreakdownType,,,,,,,,
GET NgApplicationScoresRestController.ruleBreakdownData,,,,,,,,
GET NgApplicationScoresRestController.ruleCategoryBreakdownData,,,,,,,,
GET NgApplicationScoresRestController.ruleSeverityBreakdownData,,,,,,,,
GET NgApplicationScoresRestController.traceStatusBreakdownData,,,,,,,,
GET NgApplicationServersRestController.serversData,,,,,,,,
GET NgApplicationServersRestController.getServersData,,,,,,,,
GET NgApplicationServersRestController.getNewestServer,,,,,,,,
GET NgApplicationServersRestController.serversProperties,,,,,,,,
GET NgApplicationServersRestController.getServers,,,,,,,,
GET NgApplicationServersRestController.getServerProtectionSettingsByEnvironment,,,,,,,,
GET NgApplicationServersRestController.getServerProtectionSettings,,,,,,,,
GET NgApplicationServersRestController.getServerBreakdown,,,,,,,,
GET NgApplicationSettingsRestController.saveAppSettings,,YES,,,,,,YES
GET NgApplicationStigReportRestController.getTemplateDetails,,YES,,,,,,YES
GET NgApplicationStigReportRestController.persistTemplate,,YES,,,,,,YES
GET NgApplicationStigReportRestController.getTemplate,,YES,,,,,,YES
GET NgApplicationTechnologiesRestController.getTechonolgies,,,,,,,,
GET NgApplicationsRestController.getSessionMetadataFields,,,,,,,,
GET NgApplicationsRestController.getApplicationsAdvancedFilters,,,,,,,,
GET NgApplicationsRestController.getFiltersTypes,,,,,,,,
POST NgApplicationsRestController.getFiltersTypesV2,,,,,,,,
GET NgApplicationsRestController.getApplicationQuickFilters,,,,,,,,
POST NgApplicationsRestController.getApplicationQuickFiltersV2,,,,,,,,
GET NgApplicationsRestController.getApplicationsByFilter,,,,,,,,
POST NgApplicationsRestController.getApplicationsByFilterV2,,,,,,,,
GET NgApplicationsRestController.getBasicAppInfo,,,,,,,,
GET NgApplicationsRestController.getApplications,,,,,,,,
GET NgApplicationsRestController.getApplicationsBase,,,,,,,,
GET NgApplicationsRestController.getApplicationScore,,,,,,,,
GET NgApplicationsRestController.getApplicationsName,,,,,,,,
GET NgApplicationsRestController.getShortApplicationsByFilter,,,,,,,,
